Job,Source Table,Source Column,Transformation Component,Rule,Expression,Target Table,Target Column
Test_Plugin_Max_values,tMysqlInput_1,companyid,tMysqlInput_1,Direct Copy,row1.companyid,tUnpivotRow_1,companyid
Test_Plugin_Max_values,tMysqlInput_1,Mean_Total_Visits_to_Website,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Total_Visits_to_Website,tUnpivotRow_1,Mean_P1
Test_Plugin_Max_values,tMysqlInput_1,MAX_Total_Visits_to_Website,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Total_Visits_to_Website,tUnpivotRow_1,Max_P1
Test_Plugin_Max_values,tMysqlInput_1,Mean_Total_Page_Views,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Total_Page_Views,tUnpivotRow_1,Mean_P2
Test_Plugin_Max_values,tMysqlInput_1,MAX_Total_Page_Views,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Total_Page_Views,tUnpivotRow_1,Max_P2
Test_Plugin_Max_values,tMysqlInput_1,Mean_Page_Views_Per_Visit,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Page_Views_Per_Visit,tUnpivotRow_1,Mean_P3
Test_Plugin_Max_values,tMysqlInput_1,MAX_Page_Views_Per_Visit,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Page_Views_Per_Visit,tUnpivotRow_1,Max_P3
Test_Plugin_Max_values,tMysqlInput_1,Mean_Time_On_Page,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Time_On_Page,tUnpivotRow_1,Mean_P4
Test_Plugin_Max_values,tMysqlInput_1,MAX_Time_On_Page,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Time_On_Page,tUnpivotRow_1,Max_P4
Test_Plugin_Max_values,tMysqlInput_1,Mean_Total_Time_Spent_Per_Session,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Total_Time_Spent_Per_Session,tUnpivotRow_1,Mean_P5
Test_Plugin_Max_values,tMysqlInput_1,MAX_Total_Time_Spent_Per_Session,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Total_Time_Spent_Per_Session,tUnpivotRow_1,Max_P5
Test_Plugin_Max_values,tMysqlInput_1,AVG_Bounce_Rate,tMysqlInput_1,Direct Copy (Nullable),row1.AVG_Bounce_Rate,tUnpivotRow_1,Mean_P6
Test_Plugin_Max_values,tMysqlInput_1,MAX_Bounce_Rate,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Bounce_Rate,tUnpivotRow_1,Max_P6
Test_Plugin_Max_values,tMysqlInput_1,AVG_Checkout_Abandonment_Rate,tMysqlInput_1,Direct Copy (Nullable),row1.AVG_Checkout_Abandonment_Rate,tUnpivotRow_1,Mean_P7
Test_Plugin_Max_values,tMysqlInput_1,MAX_Checkout_Abandonment_Rate,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Checkout_Abandonment_Rate,tUnpivotRow_1,Max_P7
Test_Plugin_Max_values,tMysqlInput_1,AVG_Task_Completion_Rate,tMysqlInput_1,Direct Copy (Nullable),row1.AVG_Task_Completion_Rate,tUnpivotRow_1,Mean_P8
Test_Plugin_Max_values,tMysqlInput_1,MAX_Task_Completion_Rate,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Task_Completion_Rate,tUnpivotRow_1,Max_P8
Test_Plugin_Max_values,tMysqlInput_1,Mean_Number_of_Clickable_events,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Number_of_Clickable_events,tUnpivotRow_1,Mean_P9
Test_Plugin_Max_values,tMysqlInput_1,MAX_Number_of_Clickable_events,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Number_of_Clickable_events,tUnpivotRow_1,Max_P9
Test_Plugin_Max_values,tMysqlInput_1,Mean_Number_Of_Product_Pages_Viewed,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Number_Of_Product_Pages_Viewed,tUnpivotRow_1,Mean_P10
Test_Plugin_Max_values,tMysqlInput_1,MAX_Number_Of_Product_Pages_Viewed,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Number_Of_Product_Pages_Viewed,tUnpivotRow_1,Max_P10
Test_Plugin_Max_values,tMysqlInput_1,Mean_Page_Load_Per_Refresh_Time,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Page_Load_Per_Refresh_Time,tUnpivotRow_1,Mean_P11
Test_Plugin_Max_values,tMysqlInput_1,MAX_Page_Load_Per_Refresh_Time,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Page_Load_Per_Refresh_Time,tUnpivotRow_1,Max_P11
Test_Plugin_Max_values,tMysqlInput_1,Mean_Avg_Page_Time,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Avg_Page_Time,tUnpivotRow_1,Mean_P12
Test_Plugin_Max_values,tMysqlInput_1,MAX_Avg_Page_Time,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Avg_Page_Time,tUnpivotRow_1,Max_P12
Test_Plugin_Max_values,tMysqlInput_1,Mean_Number_of_scrolls_per_session,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Number_of_scrolls_per_session,tUnpivotRow_1,Mean_P13
Test_Plugin_Max_values,tMysqlInput_1,MAX_Number_of_scrolls_per_session,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Number_of_scrolls_per_session,tUnpivotRow_1,Max_P13
Test_Plugin_Max_values,tMysqlInput_1,Mean_Search,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Search,tUnpivotRow_1,Mean_P14
Test_Plugin_Max_values,tMysqlInput_1,MAX_Search,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Search,tUnpivotRow_1,Max_P14
Test_Plugin_Max_values,tMysqlInput_1,AVG_Visitor_Loyalty,tMysqlInput_1,Direct Copy (Nullable),row1.AVG_Visitor_Loyalty,tUnpivotRow_1,Mean_P15
Test_Plugin_Max_values,tMysqlInput_1,MAX_Visitor_Loyalty,tMysqlInput_1,Direct Copy (Nullable),row1.MAX_Visitor_Loyalty,tUnpivotRow_1,Max_P15
Test_Plugin_Max_values,tMysqlInput_1,Mean_Top_Exit_Pages,tMysqlInput_1,Direct Copy (Nullable),row1.Mean_Top_Exit_Pages,tUnpivotRow_1,Mean_P16
